resample,delta_fpr
"[(4724, 4664, 4784), (5031, 4971, 5091), (2867, 2807, 2927), (4501, 4441, 4561), (5784, 5724, 5844), (22, 0, 82), (376, 316, 436), (2147, 2087, 2207), (5784, 5724, 5844), (5784, 5724, 5844), (1860, 1800, 1920), (2867, 2807, 2927), (5784, 5724, 5844)]",-0.04619124797406807
"[(2550, 2490, 2610), (4724, 4664, 4784), (5031, 4971, 5091), (5031, 4971, 5091), (2550, 2490, 2610), (5784, 5724, 5844), (3884, 3824, 3944), (5784, 5724, 5844), (2147, 2087, 2207), (1860, 1800, 1920), (5031, 4971, 5091), (4501, 4441, 4561), (376, 316, 436)]",-0.05900367496937525
"[(2550, 2490, 2610), (22, 0, 82), (2147, 2087, 2207), (5784, 5724, 5844), (5597, 5537, 5657), (5031, 4971, 5091), (1860, 1800, 1920), (2550, 2490, 2610), (590, 530, 650), (5597, 5537, 5657), (2147, 2087, 2207), (5597, 5537, 5657), (590, 530, 650)]",-0.043701799485861184
"[(3884, 3824, 3944), (4501, 4441, 4561), (376, 316, 436), (3884, 3824, 3944), (2147, 2087, 2207), (5597, 5537, 5657), (2550, 2490, 2610), (22, 0, 82), (2550, 2490, 2610), (5031, 4971, 5091), (590, 530, 650), (1860, 1800, 1920), (4724, 4664, 4784)]",-0.046868342564976566
"[(4724, 4664, 4784), (4501, 4441, 4561), (590, 530, 650), (1860, 1800, 1920), (4501, 4441, 4561), (1860, 1800, 1920), (376, 316, 436), (3884, 3824, 3944), (2147, 2087, 2207), (2147, 2087, 2207), (590, 530, 650), (5597, 5537, 5657), (1860, 1800, 1920)]",-0.0462243474795776
"[(2147, 2087, 2207), (3884, 3824, 3944), (5597, 5537, 5657), (590, 530, 650), (22, 0, 82), (376, 316, 436), (5597, 5537, 5657), (2147, 2087, 2207), (1860, 1800, 1920), (590, 530, 650), (5031, 4971, 5091), (22, 0, 82), (2147, 2087, 2207)]",-0.04350405378683014
"[(4724, 4664, 4784), (376, 316, 436), (3884, 3824, 3944), (3884, 3824, 3944), (376, 316, 436), (4501, 4441, 4561), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (2867, 2807, 2927), (2550, 2490, 2610), (5784, 5724, 5844), (2867, 2807, 2927)]",-0.054474708171206226
"[(2867, 2807, 2927), (2867, 2807, 2927), (5597, 5537, 5657), (5031, 4971, 5091), (2867, 2807, 2927), (590, 530, 650), (2550, 2490, 2610), (376, 316, 436), (376, 316, 436), (2867, 2807, 2927), (1860, 1800, 1920), (4501, 4441, 4561), (4724, 4664, 4784)]",-0.04552878726010617
"[(5597, 5537, 5657), (4501, 4441, 4561), (590, 530, 650), (5784, 5724, 5844), (3884, 3824, 3944), (2867, 2807, 2927), (2147, 2087, 2207), (590, 530, 650), (1860, 1800, 1920), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (5031, 4971, 5091)]",-0.03951890034364261
"[(5031, 4971, 5091), (2867, 2807, 2927), (22, 0, 82), (2550, 2490, 2610), (2147, 2087, 2207), (5031, 4971, 5091), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844), (5031, 4971, 5091), (590, 530, 650), (4501, 4441, 4561), (5597, 5537, 5657)]",-0.036642522368981675
"[(2550, 2490, 2610), (5031, 4971, 5091), (3884, 3824, 3944), (5784, 5724, 5844), (2867, 2807, 2927), (590, 530, 650), (22, 0, 82), (1860, 1800, 1920), (1860, 1800, 1920), (2550, 2490, 2610), (4724, 4664, 4784), (4501, 4441, 4561), (5597, 5537, 5657)]",-0.045164039198977414
"[(590, 530, 650), (1860, 1800, 1920), (5597, 5537, 5657), (4724, 4664, 4784), (4724, 4664, 4784), (1860, 1800, 1920), (4724, 4664, 4784), (376, 316, 436), (22, 0, 82), (2550, 2490, 2610), (2550, 2490, 2610), (22, 0, 82), (2867, 2807, 2927)]",-0.04172434249555072
"[(5031, 4971, 5091), (5784, 5724, 5844), (2867, 2807, 2927), (3884, 3824, 3944), (5031, 4971, 5091), (2147, 2087, 2207), (4501, 4441, 4561), (4501, 4441, 4561), (3884, 3824, 3944), (376, 316, 436), (3884, 3824, 3944), (1860, 1800, 1920), (1860, 1800, 1920)]",-0.04781829049611476
"[(4724, 4664, 4784), (5031, 4971, 5091), (5597, 5537, 5657), (1860, 1800, 1920), (2147, 2087, 2207), (1860, 1800, 1920), (3884, 3824, 3944), (4501, 4441, 4561), (2550, 2490, 2610), (2550, 2490, 2610), (5597, 5537, 5657), (5031, 4971, 5091), (590, 530, 650)]",-0.047570436913025725
"[(4724, 4664, 4784), (376, 316, 436), (2147, 2087, 2207), (1860, 1800, 1920), (2867, 2807, 2927), (2147, 2087, 2207), (3884, 3824, 3944), (2147, 2087, 2207), (2550, 2490, 2610), (5031, 4971, 5091), (5784, 5724, 5844), (4724, 4664, 4784), (2867, 2807, 2927)]",-0.04899959167006941
